Species,Region,Licences,Days,Tonnes
Shark - angel unspecified Total,,N/A,N/A,N/A
Shark - australian blacktip Total,,N/A,N/A,N/A
Shark - eastern shovel nose Total,,N/A,N/A,N/A
Shark - fins unspecified Total,,28,127,0.45
Shark - unspecified Total,,430,15578,297.73
Shark - wobbegong Total,,N/A,N/A,N/A
Silver biddies Total,,6,72,0.72
Snapper - unspecified tropical Total,,26,132,2.63
Snapper (squire) Total,,79,519,19.39
Spinefoot Total,,10,305,4.35
Squid - unspecified Total,,828,367320,"4,236.21"
Steelback Total,,N/A,N/A,N/A
striped seapike Total,,6,22,0.18
Surf red fish Total,,N/A,N/A,N/A
Sweetlip - unspecified Total,,66,292,6.83
Tailor Total,,7,215,6.16
Threadfin - blue Total,,21,76,1.02
Threadfin - king Total,,N/A,N/A,N/A
Threadfin - striped Total,,N/A,N/A,N/A
Threadfin - unspecified Total,,10,35,0.21
Threadfin bream Total,,5,14,0.15
Trevally - black Total,,13,91,0.48
Trevally - giant Total,,N/A,N/A,N/A
Trevally - unspecified Total,,58,1109,30.86
Tuna - albacore Total,,14,15,0.65
Tuna - skipjack Total,,36,191,12.86
Tuna - unspecified Total,,44,567,34.6
Tuna - yellowfin Total,,N/A,N/A,N/A
Tusk fish - unspecified Total,,42,165,1.77
Unknown Total,,281,15901,866.05
Weever - bar-faced Total,,N/A,N/A,N/A
Whiptail - false Total,,16,169,2.39
Whiting - stout Total,,121,10053,"12,235.95"
Whiting - summer Total,,51,527,52.85
Whiting - trumpeter Total,,195,11479,"1,053.89"
Whiting - unspecified Total,,396,32400,"1,787.73"
Wrasse - sling-jaw Total,,N/A,N/A,N/A
Wrasse - unspecified Total,,N/A,N/A,N/A
Yellowtail Scad Total,,5,316,16.93
Grand Total,,1106,2003258,"278,163.65"
