year,area
2002,283.4
2003,358
2003,530.7
2003,571.5
2003,160.1
2003,241.8
2003,725.3
2003,141.3
2003,266.9
2003,824.3
2003,131.9
2003,226.9
2003,301.4
2003,376.8
2003,266.9
2003,160.1
2003,571.5
2003,240.2
2003,428.6
2003,142.9
2003,294.4
2003,240.2
2003,3786.8
2003,103.6
2003,282.6
2003,376.8
2003,346.2
2003,379.9
2003,270.8
2003,153.9
2003,452.2
2003,433.3
2003,131.9
2003,310.9
2003,175.8
2003,164.9
2003,325
2004,135.1
2004,283.1
2004,217.8
2004,312.6
2004,302
2004,359.5
2004,67.6
2004,376.9
2004,143.3
2004,20.9
2004,487.7
2004,33.92
2004,407.8
2004,296.2
2004,340.5
2004,628.6
2004,212.7
2004,452.1
2004,307.5
2004,53.2
2004,41.9
2004,41.5
2004,626.5
2004,22.1
2004,272.8
2004,475.1
2004,281.6
2004,404.8
2004,494.1
2004,250.5
2004,91.5
2004,345.9
2004,440.6
2004,146
2004,631.3
2004,236
2004,142.7
2004,110.9
2004,100.8
2004,333.3
2004,150.7
2004,495.3
2004,244.1
2004,320
2004,397.8
2004,605.9
2004,328.1
2004,311.6
2004,3.5
2004,316.6
2004,2059.3
2004,131.2
2004,152.2
2004,138.3
2004,225.5
2004,431.7
2004,925.7
2004,238.9
2004,29
2004,147.7
2004,381.9
1997,
2005,
2006,
2008,
2009,180.6008
2009,48.7089
2009,3.8709
2009,64.6944
2009,86.484
2009,113.7496
2009,7.4552
2009,54.6304
2009,31.4889
2009,158.9975
2009,131.0938
2009,83.219
2009,197.0373
2010,
2011,173.8746
2011,132.822
2011,169.3682
2011,41.7735
2011,156.077
2011,87.3118
2011,66.9583
2011,197.3054
2011,102.1267
2011,705.8422
2011,169.7934
2011,141.732
2011,71.0589
2011,75.5693
2011,373.92
2011,264.0018
2011,292.2858
2011,64.9181
2011,24.3587
2011,40.0584
2012,368.7982
2012,233.5788
2012,333.1103
2012,109.7609
2012,34.6913
2012,386.9734
2012,58.5102
2012,29.5219
2012,171.3156
2012,208.2854
2012,384.0049
2012,348.8091
2012,545.7152
2012,220.6092
2012,396.5377
2012,157.1887
2012,221.5143
2013,
2014,
2015,
2016,
2018,
2020,
2021,295.96
2021,233.51
2021,218.59
2021,369.43
2021,167.41
2021,625.99
2021,489.44
2021,661.83
2021,438.52
2021,292.65
2021,34.66
2021,413.48
2021,295.07
2021,69.9
2021,364.72
2021,57.79
2021,66.89
2021,92.03
2021,84.05
2021,772.48
2021,218.38
2021,428.78
2021,100.24
2021,442.42
2021,91.09
2021,331.78
2021,326.3
2021,72.07
2021,71.3
2021,727.26
2021,1486.41
2021,106.55
2021,195.5
2021,50.82
2021,298.43
2021,67.17
2021,54.89
2021,181.61
2021,555.81
2021,957.85
2021,607.93
2021,618.43
2021,193.26
2021,60.31
2021,341.97
2021,960.2
2021,169.46
2021,685.71
2021,1028.61
2021,55.99
2021,234.55
2021,58.07
2021,596.59
2021,529.73
2021,350.59
2021,33.02
2021,1706.58
2021,236.75
2021,373.2
2021,329.72
2021,325.81
2021,309.81
2021,397.74
2021,17.38
2021,148.58
2021,217.14
2021,238.05
2021,322.19
2021,486.54
2021,259.86
2021,616.81
2021,18.5
2021,196.7
2021,106.3
2021,66.76
2021,1020.94
2021,103.16
2021,240.9
2021,214.89
2021,95.72
2021,168.83
2021,99.32
2021,144
2021,253.91
2021,390.21
2021,273.28
2021,1176.45
2021,13.3
2021,36.51
2021,31.44
2021,494.47
2021,206.26
2021,230.82
2021,189.31
2021,458.55
2021,117.41
2021,94.28
2021,408.07
2021,33.11
2021,238.83
2021,100.99
2021,377.27
2021,48
2021,105.89
2021,76.51
2021,1711.35
2021,17.85
2021,114.13
2021,727.39
2021,126.86
2021,125.5
2021,63.09
2021,28.35
2021,608.5
2021,71.74
2021,111.49
2021,144.71
2021,108.17
2021,275.73
2021,83.87
2021,126.67
2021,363.12
2021,34.45
2021,67.46
2021,77.09
2021,833.96
2021,157.89
2021,70.52
2021,210.39
2021,53.71
2021,222.28
2021,298.91
2021,214.13
2021,62.42
2021,139.52
2021,37.66
2021,95.61
2021,101.96
2021,415.16
2021,501.89
2021,40.79
2021,57.81
2021,712.51
2021,189.08
2021,174.75
2021,99.31
2021,740.67
2021,79.89
2021,95.9
2021,164.47
2021,77.77
2021,1179.92
2021,164.04
2021,189.82
2021,650.79
2021,40.91
2021,1471.26
2021,115.91
2021,464.79
2021,292.16
2021,63.36
2021,100.74
2021,571.97
2021,412.95
2021,123.54
2021,103.21
2021,95.22
2021,795.44
2021,96.96
2021,28.95
2021,337.81
2021,386.82
2021,2030.92
2021,14.73
2021,35.76
2021,101.39
2021,63.94
2021,62.31
2021,47
2021,15.11
2021,1349.12
2021,74.36
2021,73.42
2021,96.3
2021,148.07
2021,718.02
2021,66.17
2021,369.05
2021,134.01
2021,366.37
2021,123.61
2021,1235.2
2021,378.88
2021,933.64
2021,305.03
2021,357.31
2021,329.95
2021,31.85
2021,60.64
2021,126.14
2021,231.78
2021,292.38
2021,80.55
2021,348.79
2021,123.56
2021,318.94
2021,280.19
2021,496.32
2021,31.64
2021,370.78
2021,272.48
2021,250.96
2021,70.29
2021,107.19
2021,614.17
2021,401.31
2021,1218.47
2021,92.43
2021,359.76
2021,67.59
2021,405.75
2021,101.12
2021,666.8
2021,163.46
2021,517.25
2021,415.06
2021,58.99
2021,25.03
2021,1162.34
2021,225.87
2021,492.44
2021,412.57
2021,90.97
2021,347.87
2021,128.24
2021,373.99
2021,222.12
2021,165.12
2021,336.02
2021,427.86
2021,646.34
2021,458.58
2021,245.08
2021,337.11
2021,134.68
2021,284.51
2021,144.52
2021,448.55
2021,228.29
2021,999.67
2021,235.29
2021,886.57
2021,750.89
2021,129.22
2021,1940.06
2021,502.15
2021,442.19
2021,188.68
2021,447.09
2021,946.89
2021,272.31
2021,179.65
2021,645.93
2021,252.06
2021,328.44
2021,99.08
2021,288.7
2021,84.68
2021,483.94
2021,750.22
2021,233.11
2021,260.6
2021,200.08
2021,287.53
2021,33.07
2021,2066.03
2021,262.63
2021,499.24
2021,2562.02
2021,1597.71
2021,925.9
2021,1460.28
2021,218.87
2021,185.66
2021,28.69
2021,109.04
2021,6334.75
2021,561.8
2021,103.19
2021,194.45
2021,330.47
2021,1160.76
2021,70.35
2021,4567.18
2021,55.01
2021,273.64
2021,858.82
2021,767.73
2021,549.84
2021,139
2021,330.68
2021,233.56
2021,454.39
2021,1083.78
2021,270.16
2021,1054.78
2021,2464.41
2021,1027.67
2021,1318.66
2021,315.5
2021,632.99
2021,228.28
2021,302.81
2021,202.58
2021,315.06
2021,1186.1
2021,320.02
2021,64.06
2021,283.41
2021,195.74
2021,100.19
2021,1227.21
2021,647.59
2021,176.81
2021,119.91
2021,312.28
2021,372.2
2021,482.73
2021,25.85
2021,1511.62
2021,1719.93
2021,177.71
2021,228.74
2021,327.55
2021,1489.25
2021,642.68
2021,585.31
2021,71.15
2021,309.32
2021,187.82
2021,1175.37
2021,40.24
2021,207.95
2021,247.34
2021,64
2021,194.15
2021,245.66
2021,137.25
2021,152.7
2021,379.87
2021,333.19
2021,176.89
2021,395.29
2021,89.96
2021,456.02
2021,197.13
2021,163.77
2021,168.54
2021,5634.85
2021,257.38
2021,124.17
2021,269.68
2021,447.6
2021,729.87
2021,237.02
2021,57.96
2021,294.35
2021,251.98
2021,215.86
2021,420.56
2021,304.28
2021,949.2
2021,310.63
2021,48.67
2021,282.56
2021,147.47
2021,341.41
2021,148.02
2021,158.59
2021,267.81
2021,292.59
2021,388.48
2021,318.08
2021,155.53
2021,82.76
2021,400.81
2021,288.69
2021,127.14
2021,396.59
2021,448.24
2021,1605.48
2021,314.85
2021,127.68
2021,66.06
2021,109.75
2021,117.72
2021,65.78
2021,289.67
2021,271.18
2021,88.06
2021,42.32
2021,467.88
2021,163.98
2021,124.27
2021,179.63
2021,38.7
2021,59.71
2021,156.93
2021,23.02
2021,74.77
2021,9.46
2021,207.81
2021,100.85
2021,321.05
2021,171.13
2021,226.09
2021,145.26
2021,596.75
